IMO Class Code,IMO Class Name,IMO Class Description
1.1A,Substances and articles which have a mass explosion hazard,"Primary explosive substances."
1.1B,Substances and articles which have a mass explosion hazard,"Articles containing a primary explosive substance and not containing two or more effective protective features. Some articles, such as detonators for blasting, detonator assemblies for blasting and primers, cap-type, are included even though they do not contain primary explosives."
1.1C,Substances and articles which have a mass explosion hazard,"Propellant explosive substance or other deflagrating explosive substance or article containing such explosive substance."
1.1D,Substances and articles which have a mass explosion hazard,"Secondary detonating explosive substance or black powder or article containing a secondary detonating explosive substance, in each case without means of initiation and without a propelling charge, or article containing a primary explosive substance and containing two or more effective protective features."
1.1E,Substances and articles which have a mass explosion hazard,"Article containing a secondary detonating explosive substance, without means of initiation, with a propelling charge (other than one containing a flammable liquid or gel or hypergolic liquids)."
1.1F,Substances and articles which have a mass explosion hazard,"Article containing a secondary detonating explosive substance with its own means of initiation, with a propelling charge (other than one containing a flammable liquid or gel or hypergolic liquids) or without a propelling charge."
1.1G,Substances and articles which have a mass explosion hazard,"Pyrotechnic substance, or article containing a pyrotechnic substance, or article containing both an explosive substance and an illuminating, incendiary, tear- or smoke-producing substance (other than a water-activated article or one containing white phosphorus, phosphides, a pyrophoric substance, a flammable liquid or gel, or hypergolic liquids)."
1.1J,Substances and articles which have a mass explosion hazard,"Article containing both an explosive substance and a flammable liquid or gel."
1.1L,Substances and articles which have a mass explosion hazard,"Explosive substance or article containing an explosive substance and presenting a special hazard (such as due to water-activation or presence of hypergolic liquids, phosphides or a pyrophoric substance) and needing isolation of each type."
1.2B,Substances and articles which have a projection hazard but not a mass explosion hazard,"Articles containing a primary explosive substance and not containing two or more effective protective features. Some articles, such as detonators for blasting, detonator assemblies for blasting and primers, cap-type, are included even though they do not contain primary explosives."
1.2C,Substances and articles which have a projection hazard but not a mass explosion hazard,"Propellant explosive substance or other deflagrating explosive substance or article containing such explosive substance."
1.2D,Substances and articles which have a projection hazard but not a mass explosion hazard,"Secondary detonating explosive substance or black powder or article containing a secondary detonating explosive substance, in each case without means of initiation and without a propelling charge, or article containing a primary explosive substance and containing two or more effective protective features."
1.2E,Substances and articles which have a projection hazard but not a mass explosion hazard,"Article containing a secondary detonating explosive substance, without means of initiation, with a propelling charge (other than one containing a flammable liquid or gel or hypergolic liquids)."
1.2F,Substances and articles which have a projection hazard but not a mass explosion hazard,"Article containing a secondary detonating explosive substance with its own means of initiation, with a propelling charge (other than one containing a flammable liquid or gel or hypergolic liquids) or without a propelling charge."
1.2G,Substances and articles which have a projection hazard but not a mass explosion hazard,"Pyrotechnic substance, or article containing a pyrotechnic substance, or article containing both an explosive substance and an illuminating, incendiary, tear- or smoke-producing substance (other than a water-activated article or one containing white phosphorus, phosphides, a pyrophoric substance, a flammable liquid or gel, or hypergolic liquids)."
1.2H,Substances and articles which have a projection hazard but not a mass explosion hazard,"Article containing both an explosive substance and white phosphorus."
1.2J,Substances and articles which have a projection hazard but not a mass explosion hazard,"Article containing both an explosive substance and a flammable liquid or gel."
1.2K,Substances and articles which have a projection hazard but not a mass explosion hazard,"Article containing both an explosive substance and a toxic chemical agent."
1.2L,Substances and articles which have a projection hazard but not a mass explosion hazard,"Explosive substance or article containing an explosive substance and presenting aspecial hazard (such as due to water-activation or presence of hypergolic liquids,phosphides or a pyrophoric substance) and needing isolation of each type."
